Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2016 Maruti Alto K10,57825,Petrol,Manual,UP-37,"EMI ₹5,755/m*",Account , Gurgaon Rural Gurugram
2017 Maruti Vitara Brezza,96758,Diesel,Manual,UP-14,₹3.36L₹3.26 lakh+ other charges,Account , Sector 1 Rewari Haryana
2016 Maruti Ertiga,222000,CNG,Manual,DL-13,"EMI ₹15,571/m*",₹4.60 lakh, State - Haryana Land mark - near government school 9043405953 Rewari
2016 Renault Kwid,150807,Petrol,Manual,DL-12,₹7.50L₹7.00 lakh,₹1.53 lakh, Garhi Bolni Road Rewari Haryana
2013 Maruti Alto 800,68096,Petrol,Manual,DL-12,"EMI ₹6,847/m*",₹3.35 lakh, Near railway ground Gali no 1 vikas nagar Rewari
2013 Toyota Etios Liva,61315,Petrol,Manual,DL-10,₹2.65L₹2.60 lakh,₹1.63 lakh, null
2013 Maruti Alto 800,61048,Petrol,Manual,UP-14,"EMI ₹9,964/m*",₹4.55 lakh, New Aanaj Mandi Rewari Haryana
2013 Hyundai i10,66283,Petrol,Manual,UP-38,₹3.09L₹3.00 lakh,₹2.85 lakh, Kasola Chowk Company Bagh Rewari
2013 Maruti Wagon R 1.0,100350,Petrol,Manual,UP-37,"EMI ₹10,115/m*",₹3.35 lakh, Model Town Rewari Haryana
2020 Renault TRIBER,74381,Petrol,Manual,UP-14,₹6.00L₹5.73 lakh,₹6.49 lakh, House no 6 A Gali no 1 Shakti nagar part 1 Rewari Haryana Rewari
2015 Maruti Swift Dzire,296980,Diesel,Manual,UP-14,"EMI ₹9,788/m*",₹3.52 lakh, Shakti Nagar Rewari Near Little Kingdom School Rewari
2016 Maruti Vitara Brezza,55907,Diesel,Manual,AS-11,₹4.40 lakh,₹11.02 lakh, near kala shadan gopal dev chowk rewari Rewari
2019 Mahindra XUV500,88964,Diesel,Manual,BR-01,"EMI ₹3,003/m*",₹5.50 lakh, Railway Colony Rewari Haryana
2015 Renault Duster,99973,Diesel,Manual,UP-65,₹1.35 lakh,₹3.39 lakh, HARYANA Landmark:Haryana Rewari
2021 Volkswagen Polo,60672,Petrol,Manual,UP-65,"EMI ₹7,008/m*",₹6.11 lakh, 0 0 Boria Kamalpur
2018 Maruti Baleno,298700,Petrol,Manual,UP-67,₹2.11 lakh,₹1.52 lakh, Khasapura Rewari Haryana
2015 Ford Ecosport,128896,Diesel,Manual,UP-65,"EMI ₹10,534/m*",₹10.12 lakh, VPO Turkiawas District Rewari ( Near Ambekar Chowk) Rewari
2020 Mahindra XUV300,57000,Diesel,Manual,UP-65,₹4.20L₹4.00 lakh,₹5.84 lakh, Tint khori narnol rod Rewari
2011 Nissan Sunny,81667,Petrol,Manual,UP-65,"EMI ₹19,902/m*",₹2.44 lakh, Manesar Gurugram
2016 Mahindra TUV300,72235,Diesel,Manual,UP-70,₹2.35L₹2.24 lakh,₹1.67 lakh, Rajeev Nager Rajeev Nager Rewari
2019 Renault Kwid,106000,Petrol,Manual,UP-62,"EMI ₹10,592/m*",₹3.82 lakh, 2 2 Rewari
2014 Maruti Wagon R 1.0,28763,Petrol,Manual,UP-32,₹6.50L₹6.00 lakh,₹1.78 lakh, Sector-22 Rohtak Haryana
2015 Toyota Corolla Altis,171677,Petrol,Manual,UP-65,"EMI ₹25,766/m*",₹4.05 lakh, Rajendra Nagar Rohtak Haryana
2020 Tata ALTROZ,45774,Petrol,Manual,UP-64,₹2.90 lakh,₹5.00 lakh, Meham Meham
2012 Maruti Wagon R 1.0,48472,Petrol,Manual,UP-65,"EMI ₹3,114/m*",₹2.87 lakh, Devi Vihar Rohtak Haryana
2012 Maruti Wagon R 1.0,60870,Petrol,Manual,UP-65,₹1.40 lakh,₹1.77 lakh, Royal vatika Royal vatika Bohar
2022 Tata PUNCH,37561,Petrol,Manual,HR-51,"EMI ₹12,289/m*",₹4.13 lakh, Rajendra Nagar Rohtak Haryana
2012 Maruti Wagon R 1.0,38478,CNG,Manual,UP-61,₹4.00L₹3.70 lakh,₹2.13 lakh, Subhash Nagar Rohtak
2012 Maruti Wagon R 1.0,165552,CNG,Manual,UP-80,"EMI ₹9,217/m*",₹4.15 lakh, Kirpal Nagar Rohtak
